target_date,source_id,jam,temp_error,rh_error,rain_error,category_score,overall_score
2026-06-12,BMKG,13:00,4.9,22.0,,60.0,62.1
2026-06-12,BMKG,14:00,4.2,20.0,,100.0,77.8
2026-06-12,BMKG,15:00,3.7,19.0,,100.0,79.92
2026-06-12,BMKG,16:00,2.6,12.0,,100.0,86.4
2026-06-12,BMKG,17:00,1.2,3.0,,60.0,82.18
2026-06-12,BMKG,18:00,3.4,10.0,,60.0,71.85
2026-06-12,BMKG,19:00,2.8,4.0,,60.0,76.2
2026-06-12,BMKG,20:00,2.1,0.0,,60.0,80.15
2026-06-12,BMKG,21:00,1.9,4.0,,100.0,91.85
2026-06-12,BMKG,22:00,1.4,3.0,,100.0,93.98
2026-06-12,BMKG,23:00,1.0,2.0,,60.0,83.25
2026-06-12,CMA,00:00,0.6,0.0,0.0,100.0,98.32
2026-06-12,CMA,01:00,0.1,1.0,0.0,100.0,99.42
2026-06-12,CMA,02:00,0.3,3.0,0.0,60.0,88.26
2026-06-12,CMA,03:00,1.0,7.0,0.0,60.0,85.1
2026-06-12,CMA,04:00,1.8,10.0,0.0,60.0,81.96
2026-06-12,CMA,05:00,2.6,12.0,0.0,60.0,79.12
2026-06-12,CMA,06:00,3.8,16.0,0.0,60.0,74.56
2026-06-12,CMA,07:00,3.2,18.0,0.0,60.0,75.64
2026-06-12,CMA,08:00,2.1,18.0,0.0,60.0,78.72
2026-06-12,CMA,09:00,0.9,13.0,0.0,100.0,93.58
2026-06-12,CMA,10:00,0.1,2.0,0.0,60.0,89.12
2026-06-12,CMA,11:00,0.4,1.0,0.0,60.0,88.58
2026-06-12,CMA,12:00,0.8,0.0,0.0,100.0,97.76
2026-06-12,CMA,13:00,1.4,2.0,0.0,60.0,85.48
2026-06-12,CMA,14:00,0.9,2.0,0.0,60.0,86.88
2026-06-12,CMA,15:00,0.9,6.0,0.0,60.0,85.68
2026-06-12,CMA,16:00,0.5,4.0,0.0,60.0,87.4
2026-06-12,CMA,17:00,0.0,2.0,0.0,100.0,99.4
2026-06-12,CMA,18:00,0.7,1.0,0.0,60.0,87.74
2026-06-12,CMA,19:00,0.4,0.0,0.0,100.0,98.88
2026-06-12,CMA,20:00,0.7,1.0,0.1,0.0,72.34
2026-06-12,CMA,21:00,0.7,4.0,0.1,0.0,71.44
2026-06-12,CMA,22:00,1.1,5.0,0.1,0.0,70.02
2026-06-12,CMA,23:00,1.2,3.0,0.0,60.0,85.74
2026-06-12,ECMWF,00:00,0.4,5.0,0.0,100.0,97.38
2026-06-12,ECMWF,01:00,0.1,2.0,0.0,100.0,99.12
2026-06-12,ECMWF,02:00,0.3,1.0,0.0,100.0,98.86
2026-06-12,ECMWF,03:00,0.3,1.0,0.0,100.0,98.86
2026-06-12,ECMWF,04:00,0.0,1.0,0.0,100.0,99.7
2026-06-12,ECMWF,05:00,0.4,1.0,0.0,100.0,98.58
2026-06-12,ECMWF,06:00,1.3,3.0,0.0,100.0,95.46
2026-06-12,ECMWF,07:00,0.6,5.0,0.0,100.0,96.82
2026-06-12,ECMWF,08:00,0.1,8.0,0.0,100.0,97.32
2026-06-12,ECMWF,09:00,0.0,9.0,0.0,60.0,87.3
2026-06-12,ECMWF,10:00,0.1,2.0,0.0,100.0,99.12
2026-06-12,ECMWF,11:00,0.3,0.0,0.0,60.0,89.16
2026-06-12,ECMWF,12:00,0.4,2.0,0.0,60.0,88.28
2026-06-12,ECMWF,13:00,0.2,2.0,0.0,60.0,88.84
2026-06-12,ECMWF,14:00,0.9,5.0,0.0,60.0,85.98
2026-06-12,ECMWF,15:00,0.9,5.0,0.0,60.0,85.98
2026-06-12,ECMWF,16:00,1.2,8.0,0.0,60.0,84.24
2026-06-12,ECMWF,17:00,1.2,9.0,0.0,100.0,93.94
2026-06-12,ECMWF,18:00,1.3,8.0,0.0,60.0,83.96
2026-06-12,ECMWF,19:00,0.4,5.0,0.0,60.0,87.38
2026-06-12,ECMWF,20:00,0.1,4.0,0.0,100.0,98.52
2026-06-12,ECMWF,21:00,0.5,1.0,0.0,100.0,98.3
2026-06-12,ECMWF,22:00,0.6,1.0,0.0,100.0,98.02
2026-06-12,ECMWF,23:00,0.7,2.0,0.0,60.0,87.44
2026-06-12,GFS,00:00,1.4,2.0,0.0,100.0,95.48
2026-06-12,GFS,01:00,1.6,1.0,0.0,100.0,95.22
2026-06-12,GFS,02:00,1.4,1.0,0.0,60.0,85.78
2026-06-12,GFS,03:00,0.9,2.0,0.0,60.0,86.88
2026-06-12,GFS,04:00,0.4,3.0,0.0,60.0,87.98
2026-06-12,GFS,05:00,0.0,4.0,0.0,60.0,88.8
2026-06-12,GFS,06:00,0.5,6.0,0.0,60.0,86.8
2026-06-12,GFS,07:00,1.0,12.0,0.0,60.0,83.6
2026-06-12,GFS,08:00,1.8,20.0,0.0,60.0,78.96
2026-06-12,GFS,09:00,1.5,21.0,0.0,60.0,79.5
2026-06-12,GFS,10:00,1.4,16.0,0.0,60.0,81.28
2026-06-12,GFS,11:00,1.5,16.0,0.0,100.0,91.0
2026-06-12,GFS,12:00,1.3,17.0,0.0,60.0,81.26
2026-06-12,GFS,13:00,0.8,13.0,0.0,60.0,83.86
2026-06-12,GFS,14:00,1.2,13.0,0.0,60.0,82.74
2026-06-12,GFS,15:00,1.0,8.0,0.0,60.0,84.8
2026-06-12,GFS,16:00,0.1,4.0,0.0,60.0,88.52
2026-06-12,GFS,17:00,1.1,3.0,0.1,0.0,70.62
2026-06-12,GFS,18:00,1.8,3.0,0.2,0.0,68.26
2026-06-12,GFS,19:00,1.8,1.0,0.1,0.0,69.26
2026-06-12,GFS,20:00,1.5,1.0,0.0,100.0,95.5
2026-06-12,GFS,21:00,1.5,0.0,0.0,100.0,95.8
2026-06-12,GFS,22:00,1.3,1.0,0.0,100.0,96.06
2026-06-12,GFS,23:00,1.1,0.0,0.0,60.0,86.92
2026-06-12,ICON,00:00,2.2,3.0,0.0,60.0,82.94
2026-06-12,ICON,01:00,2.3,1.0,0.0,60.0,83.26
2026-06-12,ICON,02:00,2.4,1.0,0.0,100.0,92.98
2026-06-12,ICON,03:00,1.8,5.0,0.0,60.0,83.46
2026-06-12,ICON,04:00,1.2,5.0,0.0,60.0,85.14
2026-06-12,ICON,05:00,1.0,3.0,0.0,60.0,86.3
2026-06-12,ICON,06:00,0.5,4.0,0.0,100.0,97.4
2026-06-12,ICON,07:00,0.1,10.0,0.0,60.0,86.72
2026-06-12,ICON,08:00,1.9,14.0,0.0,100.0,90.48
2026-06-12,ICON,09:00,1.9,20.0,0.0,60.0,78.68
2026-06-12,ICON,10:00,1.7,11.0,0.0,100.0,91.94
2026-06-12,ICON,11:00,2.0,8.0,0.0,60.0,82.0
2026-06-12,ICON,12:00,2.2,7.0,0.0,60.0,81.74
2026-06-12,ICON,13:00,1.9,5.0,0.0,100.0,93.18
2026-06-12,ICON,14:00,2.6,8.0,0.0,60.0,80.32
2026-06-12,ICON,15:00,2.7,8.0,0.0,60.0,80.04
2026-06-12,ICON,16:00,2.5,10.0,0.0,60.0,80.0
2026-06-12,ICON,17:00,2.4,11.0,0.0,60.0,79.98
2026-06-12,ICON,18:00,2.3,12.0,0.0,60.0,79.96
2026-06-12,ICON,19:00,1.5,11.0,0.0,60.0,82.5
2026-06-12,ICON,20:00,1.1,10.0,0.0,100.0,93.92
2026-06-12,ICON,21:00,0.5,7.0,0.0,100.0,96.5
2026-06-12,ICON,22:00,0.4,5.0,0.0,100.0,97.38
2026-06-12,ICON,23:00,0.5,4.0,0.0,100.0,97.4
2026-06-12,KMA,00:00,,,,60.0,18.75
2026-06-12,KMA,01:00,,,,60.0,18.75
2026-06-12,KMA,02:00,,,,60.0,18.75
2026-06-12,KMA,03:00,,,,60.0,18.75
2026-06-12,KMA,04:00,,,,100.0,31.25
2026-06-12,KMA,05:00,,,,100.0,31.25
2026-06-12,KMA,06:00,,,,100.0,31.25
2026-06-12,KMA,07:00,,,,100.0,31.25
2026-06-12,KMA,08:00,,,,60.0,18.75
2026-06-12,KMA,09:00,,,,60.0,18.75
2026-06-12,KMA,10:00,,,,60.0,18.75
2026-06-12,KMA,11:00,,,,100.0,31.25
