target_date,jam,target_datetime,lead_hours,lead_bucket,mission,location_personality,microclimate_profile,atmospheric_mode,predictability,dominant_category,dominant_category_probability,category_disagreement,sources_used,source_ids,coverage_fraction,temp_p05,temp_p10,temp_p25,temp_p50,temp_p75,temp_p90,temp_p95,temp_micro_p50,temp_micro_adjustment,rh_p10,rh_p50,rh_p90,rh_micro_p50,rh_micro_adjustment,rain_p05,rain_p10,rain_p25,rain_p50,rain_p75,rain_p90,rain_p95,prob_rain,prob_moderate_heavy_rain,prob_heavy_rain,wind_p50,wind_p90,gust_p90,heat_index_p50,heat_index_p90,cloud_p50,cape_p50,visibility_p10,analog_probability,analog_cases,direct_hit_risk,nearby_rain_risk,rain_displacement_risk,spatial_uncertainty,rain_threat_score,rain_threat_level,heavy_rain_threat_score,heavy_rain_threat_level,wind_threat_score,wind_threat_level,heat_discomfort_threat_score,heat_discomfort_threat_level,low_visibility_threat_score,low_visibility_threat_level,thunderstorm_proxy_threat_score,thunderstorm_proxy_threat_level,uncertainty_score,forecast_stress_index,forecast_failure_risk,self_doubt_score,main_failure_mode,scenario_dry_miss,scenario_nearby_rain_only,scenario_direct_light_rain,scenario_direct_moderate_rain,scenario_convective_burst,walking_score,motorbike_score,outdoor_event_score,fieldwork_score,laundry_score,sport_score,trust_level,operational_status,autopilot_route,confidence_score_base,source_health_mean,gap_mean_minutes,decision_recommendation,expert_council,counterfactual_summary,forecast_contract_summary,explanation,dew_point_c,apparent_temperature_c,pressure_msl_hpa,surface_pressure_hpa,wind_direction_deg,uv_index,grid_sampling_status,grid_points_used,grid_rain_point_fraction,grid_max_rain_mm,grid_center_rain_mm,grid_direct_hit_risk,grid_nearby_rain_risk,grid_spatial_uncertainty,sentinel_public_version,official_warning_disclaimer,calibration_status,verification_cases,risk_score_basis,public_safety_note
2026-08-16,00:00,2026-08-16T00:00:00+07:00,0.0,lead_0_3h,safety_first,valley_humid_convective,valley_highland,HUMID_STABLE_MORNING,HIGH,Berawan,56.6,43.4,7,CMA+ECMWF+GFS+ICON+KMA+METEOFRANCE+UKMO,0.778,17.6,17.6,18.9,21.3,21.6,25.9,25.9,20.8,-0.5,91.0,93.0,99.0,97.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,0.0,0.0,4.1,5.1,9.7,21.3,25.9,97.0,0.0,20600.0,1.6,50,9.5,14.3,15.4,35.6,21.1,LOW,1.8,LOW,21.6,LOW,5.8,LOW,0.0,LOW,28.3,LOW,18.3,22.6,21.0,24.7,low_failure_risk_non_rain,87.6,4.9,4.1,1.4,2.0,7,6,6,7,2,7,TRUSTED,GREEN,analog_memory_blend_route,73.0,1.0,0.0,Risiko relatif terkendali; keputusan normal masih masuk akal dengan pemantauan berkala.,"Local Signal Analyst: sinyal hujan belum dominan, tetapi tetap membaca tail-risk dari P90/P95. | Uncertainty Auditor: agreement relatif masih dapat diterima untuk keputusan umum. | Analog Memory Analyst: 50 kasus lokal historis/feedback ikut memodifikasi peluang hujan. | Decision Judge: mission=safety_first → Risiko relatif terkendali; keputusan normal masih masuk akal dengan pemantauan berkala.","Jika RH turun ±10%, rain support kemungkinan turun signifikan.",Boleh dipakai untuk rencana umum; tetap bukan peringatan resmi cuaca ekstrem.,"Sentinel memilih interpretasi ini karena mode atmosfer HUMID_STABLE_MORNING; 7 source aktif. Grid sampling: nearby rain fraction 0.0, max rain 0 mm.",20.5,25.3,1015.5,936.2,129.0,0.0,ok,9,0.0,0,0,0.0,0.0,0.0,sentinel-x-public-operational-v2,"Bukan peringatan resmi. Untuk cuaca ekstrem, ikuti informasi BMKG dan kondisi setempat.",VERIFIED_ENOUGH_DATA,768,observation_verified,Decision support only; not an official warning.
2026-08-16,01:00,2026-08-16T01:00:00+07:00,0.0,lead_0_3h,safety_first,valley_humid_convective,valley_highland,HUMID_STABLE_MORNING,HIGH,Berawan,56.6,43.4,7,CMA+ECMWF+GFS+ICON+KMA+METEOFRANCE+UKMO,0.778,16.9,16.9,18.7,21.0,21.3,25.5,25.5,20.5,-0.5,90.0,94.0,100.0,98.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.8,4.8,10.4,21.0,25.5,99.0,0.0,24140.0,1.0,50,9.4,14.2,15.3,35.5,21.0,LOW,1.8,LOW,23.1,LOW,2.3,LOW,0.0,LOW,28.7,LOW,18.3,22.6,20.9,24.6,low_failure_risk_non_rain,87.8,4.8,4.0,1.4,2.0,7,6,7,7,2,7,TRUSTED,GREEN,analog_memory_blend_route,72.9,1.0,0.0,Risiko relatif terkendali; keputusan normal masih masuk akal dengan pemantauan berkala.,"Local Signal Analyst: sinyal hujan belum dominan, tetapi tetap membaca tail-risk dari P90/P95. | Uncertainty Auditor: agreement relatif masih dapat diterima untuk keputusan umum. | Analog Memory Analyst: 50 kasus lokal historis/feedback ikut memodifikasi peluang hujan. | Decision Judge: mission=safety_first → Risiko relatif terkendali; keputusan normal masih masuk akal dengan pemantauan berkala.","Jika RH turun ±10%, rain support kemungkinan turun signifikan.",Boleh dipakai untuk rencana umum; tetap bukan peringatan resmi cuaca ekstrem.,"Sentinel memilih interpretasi ini karena mode atmosfer HUMID_STABLE_MORNING; 7 source aktif. Grid sampling: nearby rain fraction 0.0, max rain 0 mm.",20.2,24.9,1015.0,935.7,143.0,0.0,ok,9,0.0,0,0,0.0,0.0,0.0,sentinel-x-public-operational-v2,"Bukan peringatan resmi. Untuk cuaca ekstrem, ikuti informasi BMKG dan kondisi setempat.",VERIFIED_ENOUGH_DATA,768,observation_verified,Decision support only; not an official warning.
2026-08-16,02:00,2026-08-16T02:00:00+07:00,0.0,lead_0_3h,safety_first,valley_humid_convective,valley_highland,HUMID_STABLE_MORNING,HIGH,Berawan,72.8,27.2,7,CMA+ECMWF+GFS+ICON+KMA+METEOFRANCE+UKMO,0.778,17.4,17.4,18.6,20.3,21.2,25.3,25.3,19.8,-0.5,91.0,96.0,99.0,100.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.8,4.7,10.4,20.3,25.3,100.0,0.0,24140.0,1.0,50,9.5,12.9,12.8,26.1,20.4,LOW,1.3,LOW,23.1,LOW,2.1,LOW,0.0,LOW,29.2,LOW,13.0,18.1,17.0,17.8,low_failure_risk_non_rain,88.5,4.3,4.3,1.4,1.5,7,6,7,7,2,7,HIGHLY_TRUSTED,GREEN,analog_memory_blend_route,77.1,1.0,0.0,Risiko relatif terkendali; keputusan normal masih masuk akal dengan pemantauan berkala.,"Local Signal Analyst: sinyal hujan belum dominan, tetapi tetap membaca tail-risk dari P90/P95. | Uncertainty Auditor: agreement relatif masih dapat diterima untuk keputusan umum. | Analog Memory Analyst: 50 kasus lokal historis/feedback ikut memodifikasi peluang hujan. | Decision Judge: mission=safety_first → Risiko relatif terkendali; keputusan normal masih masuk akal dengan pemantauan berkala.","Jika RH turun ±10%, rain support kemungkinan turun signifikan.",Boleh dipakai untuk rencana umum; tetap bukan peringatan resmi cuaca ekstrem.,"Sentinel memilih interpretasi ini karena mode atmosfer HUMID_STABLE_MORNING; 7 source aktif. Grid sampling: nearby rain fraction 0.0, max rain 0 mm.",19.9,24.4,1014.6,935.2,153.0,0.0,ok,9,0.0,0,0,0.0,0.0,0.0,sentinel-x-public-operational-v2,"Bukan peringatan resmi. Untuk cuaca ekstrem, ikuti informasi BMKG dan kondisi setempat.",VERIFIED_ENOUGH_DATA,768,observation_verified,Decision support only; not an official warning.
2026-08-16,03:00,2026-08-16T03:00:00+07:00,0.0,lead_0_3h,safety_first,valley_humid_convective,valley_highland,HUMID_STABLE_MORNING,HIGH,Berawan,87.4,12.6,7,CMA+ECMWF+GFS+ICON+KMA+METEOFRANCE+UKMO,0.778,17.3,17.3,18.4,19.6,21.1,25.0,25.0,19.1,-0.5,90.0,96.0,100.0,100.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,3.6,4.1,10.4,19.6,25.0,100.0,0.0,24140.0,0.5,50,9.3,11.4,10.4,17.7,19.3,LOW,0.8,LOW,23.1,LOW,0.0,LOW,0.0,LOW,29.2,LOW,8.3,14.1,13.4,11.7,low_failure_risk_non_rain,88.8,4.4,4.3,1.5,1.0,8,6,7,8,2,7,HIGHLY_TRUSTED,GREEN,analog_memory_blend_route,80.7,1.0,0.0,Risiko relatif terkendali; keputusan normal masih masuk akal dengan pemantauan berkala.,"Local Signal Analyst: sinyal hujan belum dominan, tetapi tetap membaca tail-risk dari P90/P95. | Uncertainty Auditor: agreement relatif masih dapat diterima untuk keputusan umum. | Analog Memory Analyst: 50 kasus lokal historis/feedback ikut memodifikasi peluang hujan. | Decision Judge: mission=safety_first → Risiko relatif terkendali; keputusan normal masih masuk akal dengan pemantauan berkala.","Jika RH turun ±10%, rain support kemungkinan turun signifikan.",Boleh dipakai untuk rencana umum; tetap bukan peringatan resmi cuaca ekstrem.,"Sentinel memilih interpretasi ini karena mode atmosfer HUMID_STABLE_MORNING; 7 source aktif. Grid sampling: nearby rain fraction 0.0, max rain 0 mm.",19.6,23.9,1014.3,934.8,143.0,0.0,ok,9,0.0,0,0,0.0,0.0,0.0,sentinel-x-public-operational-v2,"Bukan peringatan resmi. Untuk cuaca ekstrem, ikuti informasi BMKG dan kondisi setempat.",VERIFIED_ENOUGH_DATA,768,observation_verified,Decision support only; not an official warning.
2026-08-16,04:00,2026-08-16T04:00:00+07:00,0.0,lead_0_3h,safety_first,valley_humid_convective,valley_highland,HUMID_STABLE_MORNING,HIGH,Berawan,87.4,12.6,7,CMA+ECMWF+GFS+ICON+KMA+METEOFRANCE+UKMO,0.778,17.7,17.7,18.2,19.3,21.1,24.7,24.7,18.8,-0.5,89.0,96.0,100.0,100.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,3.6,5.8,10.1,19.3,24.7,100.0,0.0,24140.0,0.5,50,9.3,11.4,10.4,17.7,19.3,LOW,0.8,LOW,22.4,LOW,0.0,LOW,0.0,LOW,29.2,LOW,8.3,14.1,13.4,11.7,low_failure_risk_non_rain,88.8,4.4,4.3,1.5,1.0,8,6,7,8,2,7,HIGHLY_TRUSTED,GREEN,analog_memory_blend_route,81.4,1.0,0.0,Risiko relatif terkendali; keputusan normal masih masuk akal dengan pemantauan berkala.,"Local Signal Analyst: sinyal hujan belum dominan, tetapi tetap membaca tail-risk dari P90/P95. | Uncertainty Auditor: agreement relatif masih dapat diterima untuk keputusan umum. | Analog Memory Analyst: 50 kasus lokal historis/feedback ikut memodifikasi peluang hujan. | Decision Judge: mission=safety_first → Risiko relatif terkendali; keputusan normal masih masuk akal dengan pemantauan berkala.","Jika RH turun ±10%, rain support kemungkinan turun signifikan.",Boleh dipakai untuk rencana umum; tetap bukan peringatan resmi cuaca ekstrem.,"Sentinel memilih interpretasi ini karena mode atmosfer HUMID_STABLE_MORNING; 7 source aktif. Grid sampling: nearby rain fraction 0.0, max rain 0 mm.",19.4,23.6,1014.2,934.7,140.0,0.0,ok,9,0.0,0,0,0.0,0.0,0.0,sentinel-x-public-operational-v2,"Bukan peringatan resmi. Untuk cuaca ekstrem, ikuti informasi BMKG dan kondisi setempat.",VERIFIED_ENOUGH_DATA,768,observation_verified,Decision support only; not an official warning.
2026-08-16,05:00,2026-08-16T05:00:00+07:00,0.0,lead_0_3h,safety_first,valley_humid_convective,valley_highland,HUMID_STABLE_MORNING,HIGH,Berawan,87.4,12.6,7,CMA+ECMWF+GFS+ICON+KMA+METEOFRANCE+UKMO,0.778,17.5,17.5,17.8,19.1,21.3,24.4,24.4,18.6,-0.5,87.0,96.0,99.0,100.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3,5.8,9.7,19.1,24.4,100.0,0.0,24140.0,0.0,50,9.1,11.3,10.3,17.6,19.0,LOW,0.8,LOW,21.6,LOW,0.0,LOW,0.0,LOW,29.2,LOW,8.3,14.0,13.3,11.7,low_failure_risk_non_rain,88.8,4.4,4.3,1.5,1.0,8,6,7,8,2,7,HIGHLY_TRUSTED,GREEN,analog_memory_blend_route,81.3,1.0,0.0,Risiko relatif terkendali; keputusan normal masih masuk akal dengan pemantauan berkala.,"Local Signal Analyst: sinyal hujan belum dominan, tetapi tetap membaca tail-risk dari P90/P95. | Uncertainty Auditor: agreement relatif masih dapat diterima untuk keputusan umum. | Analog Memory Analyst: 50 kasus lokal historis/feedback ikut memodifikasi peluang hujan. | Decision Judge: mission=safety_first → Risiko relatif terkendali; keputusan normal masih masuk akal dengan pemantauan berkala.","Jika RH turun ±10%, rain support kemungkinan turun signifikan.",Boleh dipakai untuk rencana umum; tetap bukan peringatan resmi cuaca ekstrem.,"Sentinel memilih interpretasi ini karena mode atmosfer HUMID_STABLE_MORNING; 7 source aktif. Grid sampling: nearby rain fraction 0.0, max rain 0 mm.",19.2,23.2,1014.7,935.1,142.0,0.0,ok,9,0.0,0,0,0.0,0.0,0.0,sentinel-x-public-operational-v2,"Bukan peringatan resmi. Untuk cuaca ekstrem, ikuti informasi BMKG dan kondisi setempat.",VERIFIED_ENOUGH_DATA,768,observation_verified,Decision support only; not an official warning.
2026-08-16,06:00,2026-08-16T06:00:00+07:00,0.0,lead_0_3h,safety_first,valley_humid_convective,valley_highland,HUMID_STABLE_MORNING,HIGH,Berawan,87.4,12.6,7,CMA+ECMWF+GFS+ICON+KMA+METEOFRANCE+UKMO,0.778,17.1,17.1,17.5,19.1,21.6,24.1,24.1,18.6,-0.5,84.0,96.0,99.0,100.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3,5.8,9.0,19.1,24.1,100.0,0.0,24140.0,0.0,50,9.1,11.3,10.3,17.6,19.0,LOW,0.8,LOW,20.0,LOW,0.0,LOW,0.0,LOW,29.2,LOW,8.3,14.0,13.3,11.7,low_failure_risk_non_rain,88.8,4.4,4.3,1.5,1.0,8,6,7,8,2,7,HIGHLY_TRUSTED,GREEN,analog_memory_blend_route,80.8,1.0,0.0,Risiko relatif terkendali; keputusan normal masih masuk akal dengan pemantauan berkala.,"Local Signal Analyst: sinyal hujan belum dominan, tetapi tetap membaca tail-risk dari P90/P95. | Uncertainty Auditor: agreement relatif masih dapat diterima untuk keputusan umum. | Analog Memory Analyst: 50 kasus lokal historis/feedback ikut memodifikasi peluang hujan. | Decision Judge: mission=safety_first → Risiko relatif terkendali; keputusan normal masih masuk akal dengan pemantauan berkala.","Jika RH turun ±10%, rain support kemungkinan turun signifikan.",Boleh dipakai untuk rencana umum; tetap bukan peringatan resmi cuaca ekstrem.,"Sentinel memilih interpretasi ini karena mode atmosfer HUMID_STABLE_MORNING; 7 source aktif. Grid sampling: nearby rain fraction 0.0, max rain 0 mm.",19.0,22.9,1015.4,935.7,140.0,0.0,ok,9,0.0,0,0,0.0,0.0,0.0,sentinel-x-public-operational-v2,"Bukan peringatan resmi. Untuk cuaca ekstrem, ikuti informasi BMKG dan kondisi setempat.",VERIFIED_ENOUGH_DATA,768,observation_verified,Decision support only; not an official warning.
2026-08-16,07:00,2026-08-16T07:00:00+07:00,0.0,lead_0_3h,safety_first,valley_humid_convective,valley_highland,HUMID_STABLE_MORNING,HIGH,Berawan,87.4,12.6,7,CMA+ECMWF+GFS+ICON+KMA+METEOFRANCE+UKMO,0.778,18.1,18.1,19.2,20.0,22.2,24.9,24.9,19.5,-0.5,81.0,92.0,94.0,96.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,2.5,6.1,9.4,20.0,24.9,94.0,0.0,24140.0,0.5,50,9.0,11.2,10.4,17.7,18.6,LOW,0.8,LOW,20.9,LOW,0.0,LOW,0.0,LOW,27.8,LOW,8.3,14.1,13.4,11.7,low_failure_risk_non_rain,88.8,4.4,4.3,1.5,1.0,8,6,7,8,2,7,HIGHLY_TRUSTED,GREEN,analog_memory_blend_route,80.9,1.0,0.0,"Window relatif baik untuk aktivitas luar ruang, tetapi tetap cek update menjelang siang.","Local Signal Analyst: sinyal hujan belum dominan, tetapi tetap membaca tail-risk dari P90/P95. | Uncertainty Auditor: agreement relatif masih dapat diterima untuk keputusan umum. | Analog Memory Analyst: 50 kasus lokal historis/feedback ikut memodifikasi peluang hujan. | Decision Judge: mission=safety_first → Window relatif baik untuk aktivitas luar ruang, tetapi tetap cek update menjelang siang.","Jika RH turun ±10%, rain support kemungkinan turun signifikan.",Boleh dipakai untuk rencana umum; tetap bukan peringatan resmi cuaca ekstrem.,"Sentinel memilih interpretasi ini karena mode atmosfer HUMID_STABLE_MORNING; 7 source aktif. Grid sampling: nearby rain fraction 0.0, max rain 0 mm.",19.3,24.3,1016.0,936.5,138.0,0.4,ok,9,0.0,0,0,0.0,0.0,0.0,sentinel-x-public-operational-v2,"Bukan peringatan resmi. Untuk cuaca ekstrem, ikuti informasi BMKG dan kondisi setempat.",VERIFIED_ENOUGH_DATA,768,observation_verified,Decision support only; not an official warning.
2026-08-16,08:00,2026-08-16T08:00:00+07:00,0.0,lead_0_3h,safety_first,valley_humid_convective,valley_highland,MIXED_LOCAL_ATMOSPHERE,HIGH,Berawan,68.3,31.6,7,CMA+ECMWF+GFS+ICON+KMA+METEOFRANCE+UKMO,0.778,22.3,22.3,22.9,23.5,24.1,26.1,26.1,23.5,0.0,72.0,81.0,86.0,81.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3,4.2,10.8,23.5,26.1,100.0,0.0,24140.0,0.0,50,8.0,12.1,13.4,28.6,17.4,LOW,1.5,LOW,24.0,LOW,0.0,LOW,0.0,LOW,26.2,LOW,14.5,19.3,18.0,19.7,low_failure_risk_non_rain,88.6,4.2,4.2,1.4,1.6,8,6,7,8,2,7,TRUSTED,GREEN,analog_memory_blend_route,76.5,1.0,0.0,"Window relatif baik untuk aktivitas luar ruang, tetapi tetap cek update menjelang siang.","Local Signal Analyst: sinyal hujan belum dominan, tetapi tetap membaca tail-risk dari P90/P95. | Uncertainty Auditor: agreement relatif masih dapat diterima untuk keputusan umum. | Analog Memory Analyst: 50 kasus lokal historis/feedback ikut memodifikasi peluang hujan. | Decision Judge: mission=safety_first → Window relatif baik untuk aktivitas luar ruang, tetapi tetap cek update menjelang siang.",Faktor pengubah utama belum dominan; forecast relatif dikendalikan oleh consensus source.,Boleh dipakai untuk rencana umum; tetap bukan peringatan resmi cuaca ekstrem.,"Sentinel memilih interpretasi ini karena mode atmosfer MIXED_LOCAL_ATMOSPHERE; 7 source aktif. Grid sampling: nearby rain fraction 0.0, max rain 0 mm.",19.9,27.3,1016.3,937.5,65.0,1.9,ok,9,0.0,0,0,0.0,0.0,0.0,sentinel-x-public-operational-v2,"Bukan peringatan resmi. Untuk cuaca ekstrem, ikuti informasi BMKG dan kondisi setempat.",VERIFIED_ENOUGH_DATA,768,observation_verified,Decision support only; not an official warning.
2026-08-16,09:00,2026-08-16T09:00:00+07:00,0.0,lead_0_3h,safety_first,valley_humid_convective,valley_highland,MIXED_LOCAL_ATMOSPHERE,HIGH,Berawan,32.3,67.7,9,BMKG+CMA+ECMWF+GFS+ICON+KMA+METEOFRANCE+METNO+UKMO,1.0,24.0,24.0,25.4,26.1,27.8,28.0,28.4,26.1,0.0,55.0,67.0,77.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,3.3,0.0,0.0,3.9,7.4,14.4,26.1,31.19,64.0,20.0,24140.0,3.3,50,7.9,15.2,19.4,49.8,18.7,LOW,3.3,LOW,32.0,LOW,46.6,MEDIUM,0.0,LOW,20.2,LOW,29.6,29.3,25.7,35.3,category_disagreement_error,84.2,7.7,3.8,1.3,3.0,6,6,6,6,4,5,HIGHLY_TRUSTED,GREEN,analog_memory_blend_route,78.4,0.998,33.3,"Window relatif baik untuk aktivitas luar ruang, tetapi tetap cek update menjelang siang.","Local Signal Analyst: sinyal hujan belum dominan, tetapi tetap membaca tail-risk dari P90/P95. | Uncertainty Auditor: agreement relatif masih dapat diterima untuk keputusan umum. | Analog Memory Analyst: 50 kasus lokal historis/feedback ikut memodifikasi peluang hujan. | Decision Judge: mission=safety_first → Window relatif baik untuk aktivitas luar ruang, tetapi tetap cek update menjelang siang.","Jika kategori antar-source lebih sepakat, trust level akan naik.",Boleh dipakai untuk rencana umum; tetap bukan peringatan resmi cuaca ekstrem.,"Sentinel memilih interpretasi ini karena mode atmosfer MIXED_LOCAL_ATMOSPHERE; 9 source aktif. Grid sampling: nearby rain fraction 0.0, max rain 0 mm.",20.0,29.4,1016.2,938.0,44.0,4.1,ok,9,0.0,0,0,0.0,0.0,0.0,sentinel-x-public-operational-v2,"Bukan peringatan resmi. Untuk cuaca ekstrem, ikuti informasi BMKG dan kondisi setempat.",VERIFIED_ENOUGH_DATA,768,observation_verified,Decision support only; not an official warning.
