target_date,jam,target_datetime,lead_hours,lead_bucket,mission,location_personality,microclimate_profile,atmospheric_mode,predictability,dominant_category,dominant_category_probability,category_disagreement,sources_used,source_ids,coverage_fraction,temp_p05,temp_p10,temp_p25,temp_p50,temp_p75,temp_p90,temp_p95,temp_micro_p50,temp_micro_adjustment,rh_p10,rh_p50,rh_p90,rh_micro_p50,rh_micro_adjustment,rain_p05,rain_p10,rain_p25,rain_p50,rain_p75,rain_p90,rain_p95,prob_rain,prob_moderate_heavy_rain,prob_heavy_rain,wind_p50,wind_p90,gust_p90,heat_index_p50,heat_index_p90,cloud_p50,cape_p50,visibility_p10,analog_probability,analog_cases,direct_hit_risk,nearby_rain_risk,rain_displacement_risk,spatial_uncertainty,rain_threat_score,rain_threat_level,heavy_rain_threat_score,heavy_rain_threat_level,wind_threat_score,wind_threat_level,heat_discomfort_threat_score,heat_discomfort_threat_level,low_visibility_threat_score,low_visibility_threat_level,thunderstorm_proxy_threat_score,thunderstorm_proxy_threat_level,uncertainty_score,forecast_stress_index,forecast_failure_risk,self_doubt_score,main_failure_mode,scenario_dry_miss,scenario_nearby_rain_only,scenario_direct_light_rain,scenario_direct_moderate_rain,scenario_convective_burst,walking_score,motorbike_score,outdoor_event_score,fieldwork_score,laundry_score,sport_score,trust_level,operational_status,autopilot_route,confidence_score_base,source_health_mean,gap_mean_minutes,decision_recommendation,expert_council,counterfactual_summary,forecast_contract_summary,explanation,dew_point_c,apparent_temperature_c,pressure_msl_hpa,surface_pressure_hpa,wind_direction_deg,uv_index,grid_sampling_status,grid_points_used,grid_rain_point_fraction,grid_max_rain_mm,grid_center_rain_mm,grid_direct_hit_risk,grid_nearby_rain_risk,grid_spatial_uncertainty,sentinel_public_version,official_warning_disclaimer,calibration_status,verification_cases,risk_score_basis,public_safety_note
2026-08-16,00:00,2026-08-16T00:00:00+07:00,0.0,lead_0_3h,safety_first,lowland_heat_humidity,lowland_agriculture,MIXED_LOCAL_ATMOSPHERE,HIGH,Berawan,72.8,27.2,7,CMA+ECMWF+GFS+ICON+KMA+METEOFRANCE+UKMO,0.778,24.1,24.1,24.2,25.5,25.6,27.5,27.5,25.5,0.0,70.0,80.0,83.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1,0.0,0.0,5.1,10.5,18.4,25.5,29.73,99.0,0.0,24140.0,1.1,50,8.2,10.9,10.8,23.7,17.3,LOW,1.3,LOW,40.9,MEDIUM,35.3,MEDIUM,0.0,LOW,25.9,LOW,12.9,17.1,15.8,17.2,low_failure_risk_non_rain,88.4,4.3,4.4,1.4,1.5,6,5,7,6,2,5,HIGHLY_TRUSTED,GREEN,analog_memory_blend_route,77.6,1.0,0.0,Risiko relatif terkendali; keputusan normal masih masuk akal dengan pemantauan berkala.,"Local Signal Analyst: sinyal hujan belum dominan, tetapi tetap membaca tail-risk dari P90/P95. | Uncertainty Auditor: agreement relatif masih dapat diterima untuk keputusan umum. | Analog Memory Analyst: 50 kasus lokal historis/feedback ikut memodifikasi peluang hujan. | Decision Judge: mission=safety_first → Risiko relatif terkendali; keputusan normal masih masuk akal dengan pemantauan berkala.",Faktor pengubah utama belum dominan; forecast relatif dikendalikan oleh consensus source.,Boleh dipakai untuk rencana umum; tetap bukan peringatan resmi cuaca ekstrem.,"Sentinel memilih interpretasi ini karena mode atmosfer MIXED_LOCAL_ATMOSPHERE; 7 source aktif. Grid sampling: nearby rain fraction 0.0, max rain 0 mm.",21.2,29.0,1013.4,1011.9,164.0,0.0,ok,8,0.0,0,0,0.0,0.0,0.0,sentinel-x-public-operational-v2,"Bukan peringatan resmi. Untuk cuaca ekstrem, ikuti informasi BMKG dan kondisi setempat.",VERIFIED_ENOUGH_DATA,768,observation_verified,Decision support only; not an official warning.
2026-08-16,01:00,2026-08-16T01:00:00+07:00,0.0,lead_0_3h,safety_first,lowland_heat_humidity,lowland_agriculture,MIXED_LOCAL_ATMOSPHERE,HIGH,Berawan,87.2,12.8,7,CMA+ECMWF+GFS+ICON+KMA+METEOFRANCE+UKMO,0.778,23.9,23.9,24.0,25.0,25.0,27.2,27.2,25.0,0.0,70.0,77.0,83.0,77.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,4.7,9.2,18.0,25.0,29.2,95.0,0.0,24140.0,0.5,50,7.7,9.2,8.4,15.3,15.6,LOW,0.8,LOW,40.0,MEDIUM,26.4,LOW,0.0,LOW,24.9,LOW,8.1,13.0,12.2,11.1,low_failure_risk_non_rain,88.6,4.5,4.4,1.5,1.0,7,6,8,7,2,6,HIGHLY_TRUSTED,GREEN,analog_memory_blend_route,81.2,1.0,0.0,Risiko relatif terkendali; keputusan normal masih masuk akal dengan pemantauan berkala.,"Local Signal Analyst: sinyal hujan belum dominan, tetapi tetap membaca tail-risk dari P90/P95. | Uncertainty Auditor: agreement relatif masih dapat diterima untuk keputusan umum. | Analog Memory Analyst: 50 kasus lokal historis/feedback ikut memodifikasi peluang hujan. | Decision Judge: mission=safety_first → Risiko relatif terkendali; keputusan normal masih masuk akal dengan pemantauan berkala.",Faktor pengubah utama belum dominan; forecast relatif dikendalikan oleh consensus source.,Boleh dipakai untuk rencana umum; tetap bukan peringatan resmi cuaca ekstrem.,"Sentinel memilih interpretasi ini karena mode atmosfer MIXED_LOCAL_ATMOSPHERE; 7 source aktif. Grid sampling: nearby rain fraction 0.0, max rain 0 mm.",20.7,28.4,1012.9,1011.4,165.0,0.0,ok,8,0.0,0,0,0.0,0.0,0.0,sentinel-x-public-operational-v2,"Bukan peringatan resmi. Untuk cuaca ekstrem, ikuti informasi BMKG dan kondisi setempat.",VERIFIED_ENOUGH_DATA,768,observation_verified,Decision support only; not an official warning.
2026-08-16,02:00,2026-08-16T02:00:00+07:00,0.0,lead_0_3h,safety_first,lowland_heat_humidity,lowland_agriculture,MIXED_LOCAL_ATMOSPHERE,HIGH,Berawan,87.2,12.8,7,CMA+ECMWF+GFS+ICON+KMA+METEOFRANCE+UKMO,0.778,23.6,23.6,23.9,24.4,24.5,27.1,27.1,24.4,0.0,70.0,78.0,84.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,8.7,16.9,24.4,29.03,96.0,0.0,24140.0,0.0,50,7.7,9.2,8.4,15.3,15.6,LOW,0.8,LOW,37.6,MEDIUM,25.6,LOW,0.0,LOW,25.2,LOW,8.1,13.0,12.2,11.1,low_failure_risk_non_rain,88.7,4.4,4.4,1.5,1.0,7,6,8,7,2,6,HIGHLY_TRUSTED,GREEN,analog_memory_blend_route,81.6,1.0,0.0,Risiko relatif terkendali; keputusan normal masih masuk akal dengan pemantauan berkala.,"Local Signal Analyst: sinyal hujan belum dominan, tetapi tetap membaca tail-risk dari P90/P95. | Uncertainty Auditor: agreement relatif masih dapat diterima untuk keputusan umum. | Analog Memory Analyst: 50 kasus lokal historis/feedback ikut memodifikasi peluang hujan. | Decision Judge: mission=safety_first → Risiko relatif terkendali; keputusan normal masih masuk akal dengan pemantauan berkala.",Faktor pengubah utama belum dominan; forecast relatif dikendalikan oleh consensus source.,Boleh dipakai untuk rencana umum; tetap bukan peringatan resmi cuaca ekstrem.,"Sentinel memilih interpretasi ini karena mode atmosfer MIXED_LOCAL_ATMOSPHERE; 7 source aktif. Grid sampling: nearby rain fraction 0.0, max rain 0 mm.",20.5,28.0,1012.5,1011.0,164.0,0.0,ok,8,0.0,0,0,0.0,0.0,0.0,sentinel-x-public-operational-v2,"Bukan peringatan resmi. Untuk cuaca ekstrem, ikuti informasi BMKG dan kondisi setempat.",VERIFIED_ENOUGH_DATA,768,observation_verified,Decision support only; not an official warning.
2026-08-16,03:00,2026-08-16T03:00:00+07:00,0.0,lead_0_3h,safety_first,lowland_heat_humidity,lowland_agriculture,MIXED_LOCAL_ATMOSPHERE,HIGH,Berawan,71.1,28.9,7,CMA+ECMWF+GFS+ICON+KMA+METEOFRANCE+UKMO,0.778,23.4,23.4,23.7,24.0,24.1,26.9,26.9,24.0,0.0,71.0,79.0,85.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6,8.4,18.4,24.0,28.77,98.0,0.0,24140.0,0.0,50,8.0,10.8,10.9,24.5,16.7,LOW,1.3,LOW,40.9,MEDIUM,23.7,LOW,0.0,LOW,25.6,LOW,13.4,17.5,16.1,17.8,low_failure_risk_non_rain,88.4,4.3,4.4,1.4,1.5,7,5,7,7,2,6,HIGHLY_TRUSTED,GREEN,analog_memory_blend_route,77.6,1.0,0.0,Risiko relatif terkendali; keputusan normal masih masuk akal dengan pemantauan berkala.,"Local Signal Analyst: sinyal hujan belum dominan, tetapi tetap membaca tail-risk dari P90/P95. | Uncertainty Auditor: agreement relatif masih dapat diterima untuk keputusan umum. | Analog Memory Analyst: 50 kasus lokal historis/feedback ikut memodifikasi peluang hujan. | Decision Judge: mission=safety_first → Risiko relatif terkendali; keputusan normal masih masuk akal dengan pemantauan berkala.",Faktor pengubah utama belum dominan; forecast relatif dikendalikan oleh consensus source.,Boleh dipakai untuk rencana umum; tetap bukan peringatan resmi cuaca ekstrem.,"Sentinel memilih interpretasi ini karena mode atmosfer MIXED_LOCAL_ATMOSPHERE; 7 source aktif. Grid sampling: nearby rain fraction 0.0, max rain 0 mm.",20.4,27.8,1012.2,1010.7,160.0,0.0,ok,8,0.0,0,0,0.0,0.0,0.0,sentinel-x-public-operational-v2,"Bukan peringatan resmi. Untuk cuaca ekstrem, ikuti informasi BMKG dan kondisi setempat.",VERIFIED_ENOUGH_DATA,768,observation_verified,Decision support only; not an official warning.
2026-08-16,04:00,2026-08-16T04:00:00+07:00,0.0,lead_0_3h,safety_first,lowland_heat_humidity,lowland_agriculture,MIXED_LOCAL_ATMOSPHERE,HIGH,Berawan,56.7,43.3,7,CMA+ECMWF+GFS+ICON+KMA+METEOFRANCE+UKMO,0.778,23.1,23.1,23.6,23.9,24.0,26.8,26.8,23.9,0.0,71.0,79.0,85.0,81.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,3.3,8.2,19.1,23.9,28.6,99.0,0.0,24140.0,0.5,50,8.2,12.2,13.3,32.9,17.8,LOW,1.8,LOW,42.4,MEDIUM,21.8,LOW,0.0,LOW,25.7,LOW,18.1,21.5,19.6,23.9,low_failure_risk_non_rain,87.8,4.6,4.2,1.4,2.0,7,5,7,7,2,6,TRUSTED,GREEN,analog_memory_blend_route,74.0,1.0,0.0,Risiko relatif terkendali; keputusan normal masih masuk akal dengan pemantauan berkala.,"Local Signal Analyst: sinyal hujan belum dominan, tetapi tetap membaca tail-risk dari P90/P95. | Uncertainty Auditor: agreement relatif masih dapat diterima untuk keputusan umum. | Analog Memory Analyst: 50 kasus lokal historis/feedback ikut memodifikasi peluang hujan. | Decision Judge: mission=safety_first → Risiko relatif terkendali; keputusan normal masih masuk akal dengan pemantauan berkala.",Faktor pengubah utama belum dominan; forecast relatif dikendalikan oleh consensus source.,Boleh dipakai untuk rencana umum; tetap bukan peringatan resmi cuaca ekstrem.,"Sentinel memilih interpretasi ini karena mode atmosfer MIXED_LOCAL_ATMOSPHERE; 7 source aktif. Grid sampling: nearby rain fraction 0.0, max rain 0 mm.",20.4,27.7,1012.2,1010.7,160.0,0.0,ok,8,0.0,0,0,0.0,0.0,0.0,sentinel-x-public-operational-v2,"Bukan peringatan resmi. Untuk cuaca ekstrem, ikuti informasi BMKG dan kondisi setempat.",VERIFIED_ENOUGH_DATA,768,observation_verified,Decision support only; not an official warning.
2026-08-16,05:00,2026-08-16T05:00:00+07:00,0.0,lead_0_3h,safety_first,lowland_heat_humidity,lowland_agriculture,MIXED_LOCAL_ATMOSPHERE,HIGH,Berawan,56.7,43.3,7,CMA+ECMWF+GFS+ICON+KMA+METEOFRANCE+UKMO,0.778,22.9,22.9,23.3,24.2,24.3,26.7,26.7,24.2,0.0,71.0,80.0,84.0,82.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1,8.7,18.0,24.2,28.43,100.0,0.0,24140.0,0.0,50,8.2,12.2,13.2,32.9,17.7,LOW,1.8,LOW,40.0,MEDIUM,20.9,LOW,0.0,LOW,26.0,LOW,18.1,21.5,19.6,23.9,low_failure_risk_non_rain,87.9,4.5,4.2,1.4,2.0,7,5,7,7,2,6,TRUSTED,GREEN,analog_memory_blend_route,73.9,1.0,0.0,Risiko relatif terkendali; keputusan normal masih masuk akal dengan pemantauan berkala.,"Local Signal Analyst: sinyal hujan belum dominan, tetapi tetap membaca tail-risk dari P90/P95. | Uncertainty Auditor: agreement relatif masih dapat diterima untuk keputusan umum. | Analog Memory Analyst: 50 kasus lokal historis/feedback ikut memodifikasi peluang hujan. | Decision Judge: mission=safety_first → Risiko relatif terkendali; keputusan normal masih masuk akal dengan pemantauan berkala.",Faktor pengubah utama belum dominan; forecast relatif dikendalikan oleh consensus source.,Boleh dipakai untuk rencana umum; tetap bukan peringatan resmi cuaca ekstrem.,"Sentinel memilih interpretasi ini karena mode atmosfer MIXED_LOCAL_ATMOSPHERE; 7 source aktif. Grid sampling: nearby rain fraction 0.0, max rain 0 mm.",20.4,27.7,1012.7,1011.2,160.0,0.0,ok,8,0.0,0,0,0.0,0.0,0.0,sentinel-x-public-operational-v2,"Bukan peringatan resmi. Untuk cuaca ekstrem, ikuti informasi BMKG dan kondisi setempat.",VERIFIED_ENOUGH_DATA,768,observation_verified,Decision support only; not an official warning.
2026-08-16,06:00,2026-08-16T06:00:00+07:00,0.0,lead_0_3h,safety_first,lowland_heat_humidity,lowland_agriculture,MIXED_LOCAL_ATMOSPHERE,HIGH,Berawan,71.1,28.9,7,CMA+ECMWF+GFS+ICON+KMA+METEOFRANCE+UKMO,0.778,22.2,22.2,22.8,24.6,24.9,26.6,26.6,24.6,0.0,72.0,80.0,91.0,82.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4,8.8,16.2,24.6,26.6,97.0,0.0,24140.0,0.0,50,8.0,10.8,10.9,24.5,16.8,LOW,1.3,LOW,36.0,MEDIUM,0.6,LOW,0.0,LOW,25.7,LOW,13.4,17.5,16.1,17.8,low_failure_risk_non_rain,88.4,4.3,4.4,1.4,1.5,8,6,7,8,2,7,TRUSTED,GREEN,analog_memory_blend_route,77.3,1.0,0.0,Risiko relatif terkendali; keputusan normal masih masuk akal dengan pemantauan berkala.,"Local Signal Analyst: sinyal hujan belum dominan, tetapi tetap membaca tail-risk dari P90/P95. | Uncertainty Auditor: agreement relatif masih dapat diterima untuk keputusan umum. | Analog Memory Analyst: 50 kasus lokal historis/feedback ikut memodifikasi peluang hujan. | Decision Judge: mission=safety_first → Risiko relatif terkendali; keputusan normal masih masuk akal dengan pemantauan berkala.",Faktor pengubah utama belum dominan; forecast relatif dikendalikan oleh consensus source.,Boleh dipakai untuk rencana umum; tetap bukan peringatan resmi cuaca ekstrem.,"Sentinel memilih interpretasi ini karena mode atmosfer MIXED_LOCAL_ATMOSPHERE; 7 source aktif. Grid sampling: nearby rain fraction 0.0, max rain 0 mm.",20.4,27.9,1013.4,1011.9,161.0,0.0,ok,8,0.0,0,0,0.0,0.0,0.0,sentinel-x-public-operational-v2,"Bukan peringatan resmi. Untuk cuaca ekstrem, ikuti informasi BMKG dan kondisi setempat.",VERIFIED_ENOUGH_DATA,768,observation_verified,Decision support only; not an official warning.
2026-08-16,07:00,2026-08-16T07:00:00+07:00,0.0,lead_0_3h,safety_first,lowland_heat_humidity,lowland_agriculture,MIXED_LOCAL_ATMOSPHERE,HIGH,Cerah Berawan,47.4,52.6,9,BMKG+CMA+ECMWF+GFS+ICON+KMA+METEOFRANCE+METNO+UKMO,1.0,24.2,24.2,24.5,25.3,27.2,30.3,33.0,25.3,0.0,58.7,76.0,81.0,78.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.2,10.8,15.5,25.3,33.14,73.0,0.0,24140.0,0.0,50,7.9,12.8,14.8,38.3,17.5,LOW,2.5,LOW,34.4,LOW,69.2,HIGH,0.0,LOW,22.5,LOW,24.5,24.0,20.4,28.1,low_failure_risk_non_rain,86.2,5.9,4.0,1.3,2.6,5,6,7,5,3,4,HIGHLY_TRUSTED,GREEN,analog_memory_blend_route,82.2,0.997,33.3,"Window relatif baik untuk aktivitas luar ruang, tetapi tetap cek update menjelang siang.","Local Signal Analyst: sinyal hujan belum dominan, tetapi tetap membaca tail-risk dari P90/P95. | Uncertainty Auditor: agreement relatif masih dapat diterima untuk keputusan umum. | Analog Memory Analyst: 50 kasus lokal historis/feedback ikut memodifikasi peluang hujan. | Decision Judge: mission=safety_first → Window relatif baik untuk aktivitas luar ruang, tetapi tetap cek update menjelang siang.","Jika kategori antar-source lebih sepakat, trust level akan naik.",Boleh dipakai untuk rencana umum; tetap bukan peringatan resmi cuaca ekstrem.,"Sentinel memilih interpretasi ini karena mode atmosfer MIXED_LOCAL_ATMOSPHERE; 9 source aktif. Grid sampling: nearby rain fraction 0.0, max rain 0 mm.",20.6,29.1,1014.1,1012.6,160.0,0.5,ok,8,0.0,0,0,0.0,0.0,0.0,sentinel-x-public-operational-v2,"Bukan peringatan resmi. Untuk cuaca ekstrem, ikuti informasi BMKG dan kondisi setempat.",VERIFIED_ENOUGH_DATA,768,observation_verified,Decision support only; not an official warning.
2026-08-16,08:00,2026-08-16T08:00:00+07:00,0.0,lead_0_3h,safety_first,lowland_heat_humidity,lowland_agriculture,MIXED_LOCAL_ATMOSPHERE,HIGH,Cerah Berawan,64.0,36.0,9,BMKG+CMA+ECMWF+GFS+ICON+KMA+METEOFRANCE+METNO+UKMO,1.0,25.7,25.7,27.6,27.6,28.5,30.3,33.0,27.6,0.0,58.7,67.0,75.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.5,10.8,17.6,29.37,33.14,56.0,0.0,24140.0,0.0,50,7.0,10.7,12.1,28.7,14.9,LOW,1.8,LOW,39.1,MEDIUM,68.2,HIGH,0.0,LOW,19.0,LOW,17.8,19.0,15.9,20.5,low_failure_risk_non_rain,87.9,4.5,4.2,1.4,2.0,5,6,7,6,5,4,HIGHLY_TRUSTED,GREEN,analog_memory_blend_route,87.0,0.997,20.0,"Window relatif baik untuk aktivitas luar ruang, tetapi tetap cek update menjelang siang.","Local Signal Analyst: sinyal hujan belum dominan, tetapi tetap membaca tail-risk dari P90/P95. | Uncertainty Auditor: agreement relatif masih dapat diterima untuk keputusan umum. | Analog Memory Analyst: 50 kasus lokal historis/feedback ikut memodifikasi peluang hujan. | Decision Judge: mission=safety_first → Window relatif baik untuk aktivitas luar ruang, tetapi tetap cek update menjelang siang.",Faktor pengubah utama belum dominan; forecast relatif dikendalikan oleh consensus source.,Boleh dipakai untuk rencana umum; tetap bukan peringatan resmi cuaca ekstrem.,"Sentinel memilih interpretasi ini karena mode atmosfer MIXED_LOCAL_ATMOSPHERE; 9 source aktif. Grid sampling: nearby rain fraction 0.0, max rain 0 mm.",20.8,31.1,1014.6,1013.1,126.0,2.0,ok,8,0.0,0,0,0.0,0.0,0.0,sentinel-x-public-operational-v2,"Bukan peringatan resmi. Untuk cuaca ekstrem, ikuti informasi BMKG dan kondisi setempat.",VERIFIED_ENOUGH_DATA,768,observation_verified,Decision support only; not an official warning.
2026-08-16,09:00,2026-08-16T09:00:00+07:00,0.0,lead_0_3h,safety_first,lowland_heat_humidity,lowland_agriculture,STABLE_LOW_RAIN,HIGH,Cerah Berawan,51.4,48.6,9,BMKG+CMA+ECMWF+GFS+ICON+KMA+METEOFRANCE+METNO+UKMO,1.0,27.2,27.2,29.6,30.0,30.2,33.0,33.0,30.0,0.0,49.0,61.0,69.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.8,11.8,22.0,32.61,36.01,30.0,0.0,24140.0,0.0,50,6.7,11.4,14.1,36.0,14.6,LOW,2.1,LOW,48.9,MEDIUM,100.0,VERY_HIGH,0.0,LOW,15.2,LOW,20.5,22.1,18.5,25.1,low_failure_risk_non_rain,87.3,5.0,4.1,1.4,2.2,4,5,7,4,6,2,HIGHLY_TRUSTED,GREEN,analog_memory_blend_route,85.8,0.997,6.7,"Window relatif baik untuk aktivitas luar ruang, tetapi tetap cek update menjelang siang.","Local Signal Analyst: sinyal hujan belum dominan, tetapi tetap membaca tail-risk dari P90/P95. | Uncertainty Auditor: agreement relatif masih dapat diterima untuk keputusan umum. | Analog Memory Analyst: 50 kasus lokal historis/feedback ikut memodifikasi peluang hujan. | Decision Judge: mission=safety_first → Window relatif baik untuk aktivitas luar ruang, tetapi tetap cek update menjelang siang.",Faktor pengubah utama belum dominan; forecast relatif dikendalikan oleh consensus source.,Boleh dipakai untuk rencana umum; tetap bukan peringatan resmi cuaca ekstrem.,"Sentinel memilih interpretasi ini karena mode atmosfer STABLE_LOW_RAIN; 9 source aktif. Grid sampling: nearby rain fraction 0.0, max rain 0 mm.",21.1,32.8,1014.7,1013.2,104.0,4.0,ok,8,0.0,0,0,0.0,0.0,0.0,sentinel-x-public-operational-v2,"Bukan peringatan resmi. Untuk cuaca ekstrem, ikuti informasi BMKG dan kondisi setempat.",VERIFIED_ENOUGH_DATA,768,observation_verified,Decision support only; not an official warning.
