tanggal,jam,suhu_C,cuaca,RH_%,wind_kmh
29-06-2026,13:00,30.0,Berawan,51.0,6.7
29-06-2026,14:00,30.0,Berawan,51.0,6.7
29-06-2026,15:00,30.0,Berawan,51.0,6.7
29-06-2026,16:00,30.0,Berawan,51.0,6.7
29-06-2026,17:00,30.0,Berawan,51.0,6.7
29-06-2026,18:00,26.0,Cerah Berawan,69.0,3.7
29-06-2026,19:00,26.0,Cerah Berawan,69.0,3.7
29-06-2026,20:00,26.0,Cerah Berawan,69.0,3.7
29-06-2026,21:00,23.0,Cerah Berawan,81.0,0.1
29-06-2026,22:00,23.0,Cerah Berawan,81.0,0.1
29-06-2026,23:00,23.0,Cerah Berawan,81.0,0.1
