date,day_tag,hour,condition,temp_c,humidity_pct,heat_index_c,rain_probability,wind_kmh,risk_score,risk_label,risk_class
2026-07-21,Hari ini,00:00,Berawan tebal,20.9,83.0,20.9,14.4,3.4,10.7,Aman,safe
2026-07-21,Hari ini,01:00,Berawan tebal,20.6,83.0,20.6,8.1,3.7,6.0,Aman,safe
2026-07-21,Hari ini,02:00,Berawan tebal,20.6,85.0,20.6,20.4,3.6,15.5,Aman,safe
2026-07-21,Hari ini,03:00,Lembap malam,20.6,89.0,20.6,17.8,3.7,15.3,Aman,safe
2026-07-21,Hari ini,04:00,Lembap pagi,20.4,90.0,20.4,15.9,3.4,14.3,Aman,safe
2026-07-21,Hari ini,05:00,Lembap malam,19.9,89.0,19.9,6.7,2.9,7.1,Aman,safe
2026-07-21,Hari ini,06:00,Berawan dipantau,19.3,86.0,19.3,6.6,3.0,5.7,Aman,safe
2026-07-21,Hari ini,07:00,Cerah berawan,20.0,81.0,20.0,6.5,3.5,4.8,Aman,safe
2026-07-21,Hari ini,08:00,Cerah berawan,21.5,74.0,21.5,1.3,5.0,1.0,Aman,safe
2026-07-21,Hari ini,09:00,Hujan lokal kuat,23.6,65.0,23.6,70.0,6.5,66.8,Waspada,rain
2026-07-21,Hari ini,10:00,Hujan lokal kuat,25.6,58.0,25.6,70.0,6.8,66.8,Waspada,rain
2026-07-21,Hari ini,11:00,Hujan lokal kuat,27.2,53.0,27.54,80.0,5.8,74.2,Waspada,rain
2026-07-21,Hari ini,12:00,Cerah berawan,28.4,48.0,28.4,2.9,3.3,2.1,Aman,safe
2026-07-21,Hari ini,13:00,Cerah berawan,29.0,46.0,29.0,12.4,5.4,9.2,Aman,safe
2026-07-21,Hari ini,14:00,Gerimis lokal,29.1,46.0,29.1,31.9,7.7,31.6,Perlu diperhatikan,watch
2026-07-21,Hari ini,15:00,Hujan lokal,28.7,48.0,28.76,36.3,9.4,34.9,Perlu diperhatikan,watch
2026-07-21,Hari ini,16:00,Hujan lokal,26.9,56.0,27.48,40.6,8.4,38.0,Perlu diperhatikan,watch
2026-07-21,Hari ini,17:00,Hujan lokal,25.5,69.0,25.5,47.3,7.2,43.0,Perlu diperhatikan,watch
2026-07-21,Hari ini,18:00,Hujan lokal,23.6,78.0,23.6,44.5,6.3,40.9,Perlu diperhatikan,watch
2026-07-21,Hari ini,19:00,"Awan tumbuh, potensi hujan",22.5,80.0,22.5,42.1,6.3,39.2,Perlu diperhatikan,watch
