target_date,jam,target_datetime,lead_hours,lead_bucket,mission,location_personality,microclimate_profile,atmospheric_mode,predictability,dominant_category,dominant_category_probability,category_disagreement,sources_used,source_ids,coverage_fraction,temp_p05,temp_p10,temp_p25,temp_p50,temp_p75,temp_p90,temp_p95,temp_micro_p50,temp_micro_adjustment,rh_p10,rh_p50,rh_p90,rh_micro_p50,rh_micro_adjustment,rain_p05,rain_p10,rain_p25,rain_p50,rain_p75,rain_p90,rain_p95,prob_rain,prob_moderate_heavy_rain,prob_heavy_rain,wind_p50,wind_p90,gust_p90,heat_index_p50,heat_index_p90,cloud_p50,cape_p50,visibility_p10,analog_probability,analog_cases,direct_hit_risk,nearby_rain_risk,rain_displacement_risk,spatial_uncertainty,rain_threat_score,rain_threat_level,heavy_rain_threat_score,heavy_rain_threat_level,wind_threat_score,wind_threat_level,heat_discomfort_threat_score,heat_discomfort_threat_level,low_visibility_threat_score,low_visibility_threat_level,thunderstorm_proxy_threat_score,thunderstorm_proxy_threat_level,uncertainty_score,forecast_stress_index,forecast_failure_risk,self_doubt_score,main_failure_mode,scenario_dry_miss,scenario_nearby_rain_only,scenario_direct_light_rain,scenario_direct_moderate_rain,scenario_convective_burst,walking_score,motorbike_score,outdoor_event_score,fieldwork_score,laundry_score,sport_score,trust_level,operational_status,autopilot_route,confidence_score_base,source_health_mean,gap_mean_minutes,decision_recommendation,expert_council,counterfactual_summary,forecast_contract_summary,explanation,dew_point_c,apparent_temperature_c,pressure_msl_hpa,surface_pressure_hpa,wind_direction_deg,uv_index,grid_sampling_status,grid_points_used,grid_rain_point_fraction,grid_max_rain_mm,grid_center_rain_mm,grid_direct_hit_risk,grid_nearby_rain_risk,grid_spatial_uncertainty,sentinel_public_version,official_warning_disclaimer,calibration_status,verification_cases,risk_score_basis,public_safety_note
2026-07-21,00:00,2026-07-21T00:00:00+07:00,0.0,lead_0_3h,safety_first,urban_highland_local_rain,urban_highland,MIXED_LOCAL_ATMOSPHERE,HIGH,Berawan,58.7,41.3,7,CMA+ECMWF+GFS+ICON+KMA+METEOFRANCE+UKMO,0.778,20.0,20.0,20.6,20.9,21.9,25.2,25.2,21.2,0.3,76.0,83.0,88.0,83.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,14.4,0.0,0.0,3.4,5.0,12.6,20.9,25.2,84.0,20.0,22140.0,14.4,38,11.4,16.3,16.1,35.7,25.9,LOW,2.1,LOW,28.0,LOW,0.0,LOW,0.0,LOW,25.4,LOW,17.9,22.8,22.6,24.9,low_failure_risk_non_rain,77.8,7.9,8.8,3.5,2.0,7,5,6,7,2,7,TRUSTED,GREEN,analog_memory_blend_route,74.2,0.998,0.0,Risiko relatif terkendali; keputusan normal masih masuk akal dengan pemantauan berkala.,"Local Signal Analyst: sinyal hujan belum dominan, tetapi tetap membaca tail-risk dari P90/P95. | Uncertainty Auditor: agreement relatif masih dapat diterima untuk keputusan umum. | Analog Memory Analyst: 38 kasus lokal historis/feedback ikut memodifikasi peluang hujan. | Decision Judge: mission=safety_first → Risiko relatif terkendali; keputusan normal masih masuk akal dengan pemantauan berkala.","Jika RH turun ±10%, rain support kemungkinan turun signifikan.",Boleh dipakai untuk rencana umum; tetap bukan peringatan resmi cuaca ekstrem.,"Sentinel memilih interpretasi ini karena mode atmosfer MIXED_LOCAL_ATMOSPHERE; 7 source aktif. Grid sampling: nearby rain fraction 0.0, max rain 0 mm.",18.8,24.6,1015.0,927.8,146.0,0.0,ok,8,0.0,0,0,0.0,0.0,0.0,sentinel-x-public-operational-v2,"Bukan peringatan resmi. Untuk cuaca ekstrem, ikuti informasi BMKG dan kondisi setempat.",VERIFIED_ENOUGH_DATA,264,observation_verified,Decision support only; not an official warning.
2026-07-21,01:00,2026-07-21T01:00:00+07:00,0.0,lead_0_3h,safety_first,urban_highland_local_rain,urban_highland,MIXED_LOCAL_ATMOSPHERE,HIGH,Berawan,72.7,27.3,7,CMA+ECMWF+GFS+ICON+KMA+METEOFRANCE+UKMO,0.778,18.7,18.7,20.4,20.6,21.8,25.0,25.0,20.9,0.3,76.0,83.0,93.0,83.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.1,0.0,0.0,3.7,5.7,13.3,20.6,25.0,97.0,20.0,22700.0,8.1,38,10.0,13.6,13.3,26.9,21.7,LOW,1.5,LOW,29.6,LOW,0.0,LOW,0.0,LOW,26.7,LOW,13.2,18.5,18.1,18.5,low_failure_risk_non_rain,85.8,5.2,5.4,2.1,1.5,7,6,7,7,2,7,HIGHLY_TRUSTED,GREEN,analog_memory_blend_route,77.5,0.998,0.0,Risiko relatif terkendali; keputusan normal masih masuk akal dengan pemantauan berkala.,"Local Signal Analyst: sinyal hujan belum dominan, tetapi tetap membaca tail-risk dari P90/P95. | Uncertainty Auditor: agreement relatif masih dapat diterima untuk keputusan umum. | Analog Memory Analyst: 38 kasus lokal historis/feedback ikut memodifikasi peluang hujan. | Decision Judge: mission=safety_first → Risiko relatif terkendali; keputusan normal masih masuk akal dengan pemantauan berkala.","Jika RH turun ±10%, rain support kemungkinan turun signifikan.",Boleh dipakai untuk rencana umum; tetap bukan peringatan resmi cuaca ekstrem.,"Sentinel memilih interpretasi ini karena mode atmosfer MIXED_LOCAL_ATMOSPHERE; 7 source aktif. Grid sampling: nearby rain fraction 0.0, max rain 0 mm.",18.5,23.9,1015.0,927.6,142.0,0.0,ok,8,0.0,0,0,0.0,0.0,0.0,sentinel-x-public-operational-v2,"Bukan peringatan resmi. Untuk cuaca ekstrem, ikuti informasi BMKG dan kondisi setempat.",VERIFIED_ENOUGH_DATA,264,observation_verified,Decision support only; not an official warning.
2026-07-21,02:00,2026-07-21T02:00:00+07:00,0.0,lead_0_3h,safety_first,urban_highland_local_rain,urban_highland,MIXED_LOCAL_ATMOSPHERE,HIGH,Berawan,53.6,46.4,7,CMA+ECMWF+GFS+ICON+KMA+METEOFRANCE+UKMO,0.778,18.3,18.3,20.0,20.6,21.6,25.0,25.0,20.9,0.3,75.0,85.0,94.0,85.0,0.0,0.0,0.0,0.0,0.0,0.1,0.2,0.2,20.4,0.0,0.0,3.6,7.5,13.0,20.6,25.0,100.0,20.0,22740.0,20.4,38,12.9,18.3,17.4,39.3,29.8,LOW,2.5,LOW,28.9,LOW,0.0,LOW,0.0,LOW,27.4,LOW,19.8,24.7,24.8,27.6,low_failure_risk_non_rain,71.3,9.8,12.0,4.8,2.1,7,5,5,6,0,6,TRUSTED,GREEN,analog_memory_blend_route,72.6,0.998,0.0,Risiko relatif terkendali; keputusan normal masih masuk akal dengan pemantauan berkala.,"Local Signal Analyst: sinyal hujan belum dominan, tetapi tetap membaca tail-risk dari P90/P95. | Uncertainty Auditor: agreement relatif masih dapat diterima untuk keputusan umum. | Analog Memory Analyst: 38 kasus lokal historis/feedback ikut memodifikasi peluang hujan. | Decision Judge: mission=safety_first → Risiko relatif terkendali; keputusan normal masih masuk akal dengan pemantauan berkala.","Jika RH turun ±10%, rain support kemungkinan turun signifikan.",Boleh dipakai untuk rencana umum; tetap bukan peringatan resmi cuaca ekstrem.,"Sentinel memilih interpretasi ini karena mode atmosfer MIXED_LOCAL_ATMOSPHERE; 7 source aktif. Grid sampling: nearby rain fraction 0.0, max rain 0 mm.",18.4,23.6,1014.6,927.3,144.0,0.0,ok,8,0.0,0,0,0.0,0.0,0.0,sentinel-x-public-operational-v2,"Bukan peringatan resmi. Untuk cuaca ekstrem, ikuti informasi BMKG dan kondisi setempat.",VERIFIED_ENOUGH_DATA,264,observation_verified,Decision support only; not an official warning.
2026-07-21,03:00,2026-07-21T03:00:00+07:00,0.0,lead_0_3h,safety_first,urban_highland_local_rain,urban_highland,HUMID_STABLE_MORNING,HIGH,Berawan,38.1,61.9,7,CMA+ECMWF+GFS+ICON+KMA+METEOFRANCE+UKMO,0.778,18.0,18.0,19.5,20.6,21.4,24.9,24.9,20.9,0.3,75.0,89.0,94.0,89.0,0.0,0.0,0.0,0.0,0.0,0.1,0.2,0.2,17.8,0.0,0.0,3.7,9.1,12.2,20.6,24.9,92.0,10.0,23340.0,17.8,38,12.6,19.4,19.8,48.0,30.1,LOW,3.0,LOW,27.1,LOW,0.0,LOW,0.0,LOW,27.2,LOW,24.8,28.9,28.2,33.9,category_disagreement_error,72.8,10.5,10.1,4.1,2.5,7,5,5,6,1,6,TRUSTED,GREEN,analog_memory_blend_route,68.1,0.998,0.0,Risiko relatif terkendali; keputusan normal masih masuk akal dengan pemantauan berkala.,"Local Signal Analyst: sinyal hujan belum dominan, tetapi tetap membaca tail-risk dari P90/P95. | Uncertainty Auditor: agreement relatif masih dapat diterima untuk keputusan umum. | Analog Memory Analyst: 38 kasus lokal historis/feedback ikut memodifikasi peluang hujan. | Decision Judge: mission=safety_first → Risiko relatif terkendali; keputusan normal masih masuk akal dengan pemantauan berkala.","Jika RH turun ±10%, rain support kemungkinan turun signifikan. Jika kategori antar-source lebih sepakat, trust level akan naik.",Boleh dipakai untuk rencana umum; tetap bukan peringatan resmi cuaca ekstrem.,"Sentinel memilih interpretasi ini karena mode atmosfer HUMID_STABLE_MORNING; 7 source aktif. Grid sampling: nearby rain fraction 0.0, max rain 0 mm.",18.3,23.3,1014.4,927.0,112.0,0.0,ok,8,0.0,0,0,0.0,0.0,0.0,sentinel-x-public-operational-v2,"Bukan peringatan resmi. Untuk cuaca ekstrem, ikuti informasi BMKG dan kondisi setempat.",VERIFIED_ENOUGH_DATA,264,observation_verified,Decision support only; not an official warning.
2026-07-21,04:00,2026-07-21T04:00:00+07:00,0.0,lead_0_3h,safety_first,urban_highland_local_rain,urban_highland,HUMID_STABLE_MORNING,HIGH,Cerah Berawan,60.5,39.5,7,CMA+ECMWF+GFS+ICON+KMA+METEOFRANCE+UKMO,0.778,17.6,17.6,19.2,20.4,21.2,24.6,24.6,20.7,0.3,75.0,90.0,93.0,90.0,0.0,0.0,0.0,0.0,0.0,0.1,0.2,0.2,15.9,0.0,0.0,3.4,9.3,12.2,20.4,24.6,76.0,0.0,23680.0,15.9,38,12.4,17.0,16.0,34.8,28.0,LOW,2.2,LOW,27.1,LOW,0.0,LOW,0.0,LOW,25.6,LOW,17.5,22.6,22.5,24.4,low_failure_risk_non_rain,76.3,8.1,9.8,3.9,1.9,7,5,6,6,2,6,TRUSTED,GREEN,analog_memory_blend_route,73.7,0.998,0.0,Risiko relatif terkendali; keputusan normal masih masuk akal dengan pemantauan berkala.,"Local Signal Analyst: sinyal hujan belum dominan, tetapi tetap membaca tail-risk dari P90/P95. | Uncertainty Auditor: agreement relatif masih dapat diterima untuk keputusan umum. | Analog Memory Analyst: 38 kasus lokal historis/feedback ikut memodifikasi peluang hujan. | Decision Judge: mission=safety_first → Risiko relatif terkendali; keputusan normal masih masuk akal dengan pemantauan berkala.","Jika RH turun ±10%, rain support kemungkinan turun signifikan.",Boleh dipakai untuk rencana umum; tetap bukan peringatan resmi cuaca ekstrem.,"Sentinel memilih interpretasi ini karena mode atmosfer HUMID_STABLE_MORNING; 7 source aktif. Grid sampling: nearby rain fraction 0.0, max rain 0 mm.",18.1,23.0,1014.4,926.9,115.0,0.0,ok,8,0.0,0,0,0.0,0.0,0.0,sentinel-x-public-operational-v2,"Bukan peringatan resmi. Untuk cuaca ekstrem, ikuti informasi BMKG dan kondisi setempat.",VERIFIED_ENOUGH_DATA,264,observation_verified,Decision support only; not an official warning.
2026-07-21,05:00,2026-07-21T05:00:00+07:00,0.0,lead_0_3h,safety_first,urban_highland_local_rain,urban_highland,HUMID_STABLE_MORNING,HIGH,Cerah Berawan,49.4,50.6,7,CMA+ECMWF+GFS+ICON+KMA+METEOFRANCE+UKMO,0.778,17.4,17.4,19.2,19.9,21.1,24.1,24.1,19.9,0.0,77.0,89.0,93.0,89.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,6.7,0.0,0.0,2.9,9.3,14.4,19.9,24.1,57.0,0.0,23660.0,6.7,38,10.3,15.9,17.0,40.3,23.6,LOW,2.3,LOW,32.0,LOW,0.0,LOW,0.0,LOW,23.5,LOW,20.9,25.1,23.7,28.2,low_failure_risk_non_rain,85.0,6.9,4.1,1.7,2.3,7,5,6,7,3,7,TRUSTED,GREEN,analog_memory_blend_route,71.0,0.998,0.0,Risiko relatif terkendali; keputusan normal masih masuk akal dengan pemantauan berkala.,"Local Signal Analyst: sinyal hujan belum dominan, tetapi tetap membaca tail-risk dari P90/P95. | Uncertainty Auditor: agreement relatif masih dapat diterima untuk keputusan umum. | Analog Memory Analyst: 38 kasus lokal historis/feedback ikut memodifikasi peluang hujan. | Decision Judge: mission=safety_first → Risiko relatif terkendali; keputusan normal masih masuk akal dengan pemantauan berkala.","Jika RH turun ±10%, rain support kemungkinan turun signifikan. Jika kategori antar-source lebih sepakat, trust level akan naik.",Boleh dipakai untuk rencana umum; tetap bukan peringatan resmi cuaca ekstrem.,"Sentinel memilih interpretasi ini karena mode atmosfer HUMID_STABLE_MORNING; 7 source aktif. Grid sampling: nearby rain fraction 0.0, max rain 0 mm.",17.9,22.6,1014.8,927.2,121.0,0.0,ok,8,0.0,0,0,0.0,0.0,0.0,sentinel-x-public-operational-v2,"Bukan peringatan resmi. Untuk cuaca ekstrem, ikuti informasi BMKG dan kondisi setempat.",VERIFIED_ENOUGH_DATA,264,observation_verified,Decision support only; not an official warning.
2026-07-21,06:00,2026-07-21T06:00:00+07:00,0.0,lead_0_3h,safety_first,urban_highland_local_rain,urban_highland,HUMID_STABLE_MORNING,HIGH,Cerah Berawan,64.2,35.8,7,CMA+ECMWF+GFS+ICON+KMA+METEOFRANCE+UKMO,0.778,17.3,17.3,19.3,19.3,21.1,23.7,23.7,19.3,0.0,78.0,86.0,94.0,86.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,6.6,0.0,0.0,3.0,9.8,17.6,19.3,23.7,56.0,0.0,23160.0,6.6,38,10.0,14.3,14.7,31.8,22.1,LOW,1.8,LOW,39.1,MEDIUM,0.0,LOW,0.0,LOW,22.8,LOW,16.1,21.0,20.1,22.0,low_failure_risk_non_rain,86.5,5.7,4.3,1.7,1.8,7,5,6,7,4,7,TRUSTED,GREEN,analog_memory_blend_route,74.8,0.998,0.0,Risiko relatif terkendali; keputusan normal masih masuk akal dengan pemantauan berkala.,"Local Signal Analyst: sinyal hujan belum dominan, tetapi tetap membaca tail-risk dari P90/P95. | Uncertainty Auditor: agreement relatif masih dapat diterima untuk keputusan umum. | Analog Memory Analyst: 38 kasus lokal historis/feedback ikut memodifikasi peluang hujan. | Decision Judge: mission=safety_first → Risiko relatif terkendali; keputusan normal masih masuk akal dengan pemantauan berkala.","Jika RH turun ±10%, rain support kemungkinan turun signifikan.",Boleh dipakai untuk rencana umum; tetap bukan peringatan resmi cuaca ekstrem.,"Sentinel memilih interpretasi ini karena mode atmosfer HUMID_STABLE_MORNING; 7 source aktif. Grid sampling: nearby rain fraction 0.0, max rain 0 mm.",17.6,22.1,1015.3,927.6,124.0,0.0,ok,8,0.0,0,0,0.0,0.0,0.0,sentinel-x-public-operational-v2,"Bukan peringatan resmi. Untuk cuaca ekstrem, ikuti informasi BMKG dan kondisi setempat.",VERIFIED_ENOUGH_DATA,264,observation_verified,Decision support only; not an official warning.
2026-07-21,07:00,2026-07-21T07:00:00+07:00,0.0,lead_0_3h,safety_first,urban_highland_local_rain,urban_highland,MIXED_LOCAL_ATMOSPHERE,HIGH,Cerah Berawan,49.4,50.6,7,CMA+ECMWF+GFS+ICON+KMA+METEOFRANCE+UKMO,0.778,18.7,18.7,19.3,20.0,21.3,24.1,24.1,20.0,0.0,75.0,81.0,92.0,81.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,6.5,0.0,0.0,3.5,9.0,19.4,20.0,24.1,54.0,0.0,22320.0,6.5,38,9.6,15.3,17.0,40.3,22.0,LOW,2.3,LOW,43.1,MEDIUM,0.0,LOW,0.0,LOW,21.6,LOW,20.9,25.1,23.7,28.2,low_failure_risk_non_rain,85.1,6.8,4.2,1.6,2.3,7,5,6,7,4,7,TRUSTED,GREEN,analog_memory_blend_route,71.2,0.998,0.0,"Window relatif baik untuk aktivitas luar ruang, tetapi tetap cek update menjelang siang.","Local Signal Analyst: sinyal hujan belum dominan, tetapi tetap membaca tail-risk dari P90/P95. | Uncertainty Auditor: agreement relatif masih dapat diterima untuk keputusan umum. | Analog Memory Analyst: 38 kasus lokal historis/feedback ikut memodifikasi peluang hujan. | Decision Judge: mission=safety_first → Window relatif baik untuk aktivitas luar ruang, tetapi tetap cek update menjelang siang.","Jika kategori antar-source lebih sepakat, trust level akan naik.",Boleh dipakai untuk rencana umum; tetap bukan peringatan resmi cuaca ekstrem.,"Sentinel memilih interpretasi ini karena mode atmosfer MIXED_LOCAL_ATMOSPHERE; 7 source aktif. Grid sampling: nearby rain fraction 0.0, max rain 0 mm.",17.5,22.7,1015.8,928.2,130.0,0.3,ok,8,0.0,0,0,0.0,0.0,0.0,sentinel-x-public-operational-v2,"Bukan peringatan resmi. Untuk cuaca ekstrem, ikuti informasi BMKG dan kondisi setempat.",VERIFIED_ENOUGH_DATA,264,observation_verified,Decision support only; not an official warning.
2026-07-21,08:00,2026-07-21T08:00:00+07:00,0.0,lead_0_3h,safety_first,urban_highland_local_rain,urban_highland,MIXED_LOCAL_ATMOSPHERE,HIGH,Cerah Berawan,49.4,50.6,7,CMA+ECMWF+GFS+ICON+KMA+METEOFRANCE+UKMO,0.778,20.9,20.9,21.4,21.5,22.1,25.8,25.8,21.5,0.0,68.0,74.0,83.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,0.0,0.0,5.0,9.7,18.4,21.5,25.8,47.0,10.0,23560.0,1.3,38,7.9,13.7,16.6,39.7,17.9,LOW,2.1,LOW,40.9,MEDIUM,0.0,LOW,0.0,LOW,19.7,LOW,20.7,24.7,22.8,27.7,low_failure_risk_non_rain,87.0,5.3,4.2,1.3,2.2,8,5,7,7,5,7,TRUSTED,GREEN,analog_memory_blend_route,72.0,0.998,0.0,"Window relatif baik untuk aktivitas luar ruang, tetapi tetap cek update menjelang siang.","Local Signal Analyst: sinyal hujan belum dominan, tetapi tetap membaca tail-risk dari P90/P95. | Uncertainty Auditor: agreement relatif masih dapat diterima untuk keputusan umum. | Analog Memory Analyst: 38 kasus lokal historis/feedback ikut memodifikasi peluang hujan. | Decision Judge: mission=safety_first → Window relatif baik untuk aktivitas luar ruang, tetapi tetap cek update menjelang siang.","Jika kategori antar-source lebih sepakat, trust level akan naik.",Boleh dipakai untuk rencana umum; tetap bukan peringatan resmi cuaca ekstrem.,"Sentinel memilih interpretasi ini karena mode atmosfer MIXED_LOCAL_ATMOSPHERE; 7 source aktif. Grid sampling: nearby rain fraction 0.0, max rain 0 mm.",17.7,24.3,1016.2,929.0,113.0,1.6,ok,8,0.0,0,0,0.0,0.0,0.0,sentinel-x-public-operational-v2,"Bukan peringatan resmi. Untuk cuaca ekstrem, ikuti informasi BMKG dan kondisi setempat.",VERIFIED_ENOUGH_DATA,264,observation_verified,Decision support only; not an official warning.
2026-07-21,09:00,2026-07-21T09:00:00+07:00,0.0,lead_0_3h,safety_first,urban_highland_local_rain,urban_highland,STABLE_LOW_RAIN,HIGH,Cerah Berawan,49.4,50.6,7,CMA+ECMWF+GFS+ICON+KMA+METEOFRANCE+UKMO,0.778,22.2,22.2,23.2,23.6,23.9,27.2,27.2,23.6,0.0,63.0,65.0,74.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,5.9,8.6,20.2,23.6,29.58,32.0,20.0,24140.0,0.7,38,7.0,13.0,16.5,39.7,16.0,LOW,2.2,LOW,44.9,MEDIUM,28.7,LOW,0.0,LOW,16.6,LOW,20.7,24.6,22.7,27.7,low_failure_risk_non_rain,87.2,5.2,4.1,1.3,2.2,7,5,7,7,6,6,TRUSTED,GREEN,analog_memory_blend_route,71.9,0.998,0.0,"Window relatif baik untuk aktivitas luar ruang, tetapi tetap cek update menjelang siang.","Local Signal Analyst: sinyal hujan belum dominan, tetapi tetap membaca tail-risk dari P90/P95. | Uncertainty Auditor: agreement relatif masih dapat diterima untuk keputusan umum. | Analog Memory Analyst: 38 kasus lokal historis/feedback ikut memodifikasi peluang hujan. | Decision Judge: mission=safety_first → Window relatif baik untuk aktivitas luar ruang, tetapi tetap cek update menjelang siang.","Jika kategori antar-source lebih sepakat, trust level akan naik.",Boleh dipakai untuk rencana umum; tetap bukan peringatan resmi cuaca ekstrem.,"Sentinel memilih interpretasi ini karena mode atmosfer STABLE_LOW_RAIN; 7 source aktif. Grid sampling: nearby rain fraction 0.0, max rain 0 mm.",17.8,26.0,1015.9,929.3,89.0,3.6,ok,8,0.0,0,0,0.0,0.0,0.0,sentinel-x-public-operational-v2,"Bukan peringatan resmi. Untuk cuaca ekstrem, ikuti informasi BMKG dan kondisi setempat.",VERIFIED_ENOUGH_DATA,264,observation_verified,Decision support only; not an official warning.
